YR--MODAHRMN DIR SPD 
201701111253 020  30 
201701111353 020  24 
201701111453 030  21 
201701111553 030  14 
201701111653 040  14 
201701111753 040  16 
201701111853 040  17 
201701111953 030  17 
201701112053 030  16 
201701112153 010  11 
201701112253 020  11 
201701112353 020   9 
201701120053 010   8 
201701120153 010   7 
201701120253 010   7 
201701120353 350   5 
201701120453 010   8 
201701120553 360   6 
201701120653 360   8 
201701120753 360   3 
201701120759 *** *** 
201701120853 010   3 
201701120953 020   3 
201701121053 ***   0 
201701121153 ***   0 
201701121253 340   5 
201701121353 350   5 
201701121453 360   3 
201701121553 350   6 
201701121653 010   5 
201701121753 010   5 
201701121853 010   7 
201701121953 020   5 
201701122053 360   7 
201701122153 360   6 
201701122253 030   9 
201701122353 010   6 
201701130053 010   5 
201701130153 350   5 
201701130253 360   3 
201701130353 010   5 
201701130453 360   6 
201701130553 360   5 
201701130653 360   5 
201701130753 040   5 
201701130759 *** *** 
201701130853 360   7 
201701130953 ***   0 
201701131053 010   3 
201701131153 010   5 
201701131253 360   5 
201701131353 360   5 
201701131453 360   3 
201701131553 360   3 
201701131653 020   6 
201701131753 010   6 
201701131853 030   6 
201701131953 010   6 
201701132053 020  10 
201701132153 010   9 
201701132253 010   6 
201701132353 030   9 
201701140053 010   6 
201701140153 010  10 
201701140253 010   8 
201701140353 030   8 
201701140453 360   7 
201701140553 360   7 
201701140653 010   7 
201701140753 360   6 
201701140759 *** *** 
201701140853 360   5 
201701140953 040   8 
201701141053 020   7 
201701141153 360   5 
201701141253 360   5 
201701141353 010   7 
201701141453 020   5 
201701141553 010   6 
201701141653 010   6 
201701141753 020   5 
201701141853 020   9 
201701141953 020  10 
201701142053 030  10 
201701142153 020   9 
201701142253 020   7 
201701142353 360   5 
201701150053 040   3 
201701150153 ***   0 
201701150253 010   5 
201701150353 010   3 
201701150453 020   5 
201701150553 ***   0 
201701150653 330   7 
201701150753 350   6 
201701150759 *** *** 
201701150853 020   5 
201701150953 350   7 
201701151053 280   5 
201701151153 090   9 
201701151253 ***   0 
201701151353 020   3 
201701151453 ***   0 
201701151553 340   3 
201701151653 ***   0 
201701151753 010   5 
201701151853 040   6 
201701151953 ***   0 
201701152053 ***   0 
201701152153 ***   0 
201701152253 ***   0 
201701152353 030   3 
