  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727976 24217 201701011049 ***   0 ***  13 OVC * * *  2.0 ** ** ** ** 71 10 ** ** *   34   34 ****** 29.71 1000.6 *** *** ***** ***** ***** ***** **
727976 24217 201701011053 ***   0 ***  13 OVC * * *  3.0 ** ** ** ** 71 10 ** ** *   33   33 1007.0 29.71 1000.6 *** ***  0.01 ***** ***** ***** **
727976 24217 201701011103 350   5 ***  47 OVC * * *  6.0 ** ** ** ** 10 ** ** ** *   33   33 ****** 29.72 1000.9 *** *** ***** ***** ***** ***** **
727976 24217 201701011110 350   3 ***  13 OVC * * *  8.0 ** ** ** ** ** ** ** ** *   33   33 ****** 29.71 1000.6 *** *** ***** ***** ***** ***** **
727976 24217 201701011117 350   6 ***   4 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   33   33 ****** 29.72 1000.9 *** *** ***** ***** ***** ***** **
727976 24217 201701011151 350   6 *** 110 OVC * * *  8.0 ** ** ** ** ** ** ** ** *   34   34 ****** 29.71 1000.6 *** *** ***** ***** ***** ***** **
727976 24217 201701011153 350   6 ***  70 OVC * * *  8.0 ** ** ** ** ** ** ** ** *   33   33 1007.1 29.71 1000.6 *** ***  0.01  0.08  0.20 ***** **
727976 24217 201701011210 340   6 ***   3 OVC * * *  8.0 ** ** ** ** ** ** ** ** *   33   33 ****** 29.70 1000.3 *** *** ***** ***** ***** ***** **
727976 24217 201701011253 330   7 ***   3 OVC * * *  6.0 ** ** ** ** 10 ** ** ** *   33   32 1006.9 29.70 1000.3 *** ***  0.00 ***** ***** ***** **
727976 24217 201701011307 330   8 ***  85 OVC * * *  6.0 ** ** ** ** 10 ** ** ** *   33   32 ****** 29.70 1000.3 *** *** ***** ***** ***** ***** **
727976 24217 201701011353 340   8 ***  75 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   33   32 1006.9 29.71 1000.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201701011453 360  11 ***  80 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   33   31 1007.3 29.72 1000.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701011553 360  13 *** 100 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   34   31 1007.3 29.72 1000.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701011653 010  17  25 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   34   27 1007.7 29.73 1001.3 *** ***  0.00 ***** ***** ***** **
727976 24217 201701011753 350  15 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   28 1008.0 29.74 1001.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201701011853 020  18  25 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   26 1008.5 29.75 1002.0 *** ***  0.00 ***** ***** ***** **
727976 24217 201701011953 020  22  32 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   25 1008.6 29.76 1002.3 *** ***  0.00 ***** ***** ***** **
727976 24217 201701012053 020  20  33 110 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   35   23 1008.7 29.76 1002.3 *** ***  0.00 ***** ***** ***** **
727976 24217 201701012153 020  21  36 110 *** * * * 10.0 ** ** ** ** ** ** ** ** *   35   22 1008.9 29.76 1002.3 *** ***  0.00 ***** ***** ***** **
727976 24217 201701012253 020  21  41 110 *** * * * 10.0 ** ** ** ** ** ** ** ** *   34   20 1009.2 29.77 1002.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201701012353 020  28  40 120 *** * * * 10.0 ** ** ** ** ** ** ** ** *   33   19 1009.5 29.78 1003.0  36  33  0.00 ***** ***** ***** **
727976 24217 201701020053 020  26  39 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   32   17 1009.9 29.79 1003.3 *** ***  0.00 ***** ***** ***** **
727976 24217 201701020153 030  24  40 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   16 1010.3 29.80 1003.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201701020253 030  29  40 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   14 1010.1 29.80 1003.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201701020353 030  29  43 *** *** * * * 10.0 ** ** ** ** ** ** ** ** *   32   13 1010.9 29.82 1004.3 *** ***  0.00 ***** ***** ***** **
727976 24217 201701020453 030  28  40 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   12 1011.3 29.83 1004.7 *** ***  0.00 ***** ***** ***** **
727976 24217 201701020553 030  25  43 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   12 1012.0 29.86 1005.7 *** ***  0.00 ***** ***** ***** **
727976 24217 201701020653 020  22  39 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   12 1012.4 29.87 1006.0 *** ***  0.00 ***** ***** ***** **
727976 24217 201701020753 020  24  40 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   12 1012.7 29.88 1006.3  36  30  0.00 ***** ***** ***** **
727976 24217 201701020759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  36  30 ***** *****  0.06 ***** **
727976 24217 201701020853 020  26  44 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   11 1013.2 29.89 1006.7 *** ***  0.00 ***** ***** ***** **
727976 24217 201701020953 030  25  40 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   10 1013.7 29.91 1007.4 *** ***  0.00 ***** ***** ***** **
727976 24217 201701021053 030  24  38 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30    9 1014.0 29.91 1007.4 *** ***  0.00 ***** ***** ***** **
727976 24217 201701021153 020  23  41 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29    9 1014.4 29.92 1007.7  31  29  0.00 ***** ***** ***** **
727976 24217 201701021253 020  26  37 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29    8 1014.5 29.93 1008.0 *** ***  0.00 ***** ***** ***** **
727976 24217 201701021353 020  25  36 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    7 1015.3 29.95 1008.7 *** ***  0.00 ***** ***** ***** **
727976 24217 201701021453 020  26  40 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    6 1015.8 29.97 1009.4 *** ***  0.00 ***** ***** ***** **
727976 24217 201701021553 030  25  38 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27    5 1016.1 29.98 1009.7 *** ***  0.00 ***** ***** ***** **
727976 24217 201701021653 020  29  51 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    5 1017.2 30.01 1010.7 *** ***  0.00 ***** ***** ***** **
727976 24217 201701021753 030  28  41 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    4 1018.0 30.03 1011.4  29  27  0.00 ***** ***** ***** **
727976 24217 201701021853 020  28  44 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29    4 1018.8 30.05 1012.1 *** ***  0.00 ***** ***** ***** **
727976 24217 201701021953 020  23  40 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30    4 1018.8 30.06 1012.4 *** ***  0.00 ***** ***** ***** **
727976 24217 201701022053 020  22  38 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31    4 1019.0 30.06 1012.4 *** ***  0.00 ***** ***** ***** **
727976 24217 201701022153 030  26  39 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31    5 1019.4 30.07 1012.7 *** ***  0.00 ***** ***** ***** **
727976 24217 201701022253 030  25  39 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31    5 1019.9 30.09 1013.4 *** ***  0.00 ***** ***** ***** **
727976 24217 201701022353 020  24  37 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29    5 1020.6 30.11 1014.1  31  28  0.00 ***** ***** ***** **
727976 24217 201701030053 020  23  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    6 1021.1 30.12 1014.4 *** ***  0.00 ***** ***** ***** **
727976 24217 201701030153 030  24  38 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    5 1021.5 30.14 1015.1 *** ***  0.00 ***** ***** ***** **
727976 24217 201701030253 030  22  33 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27    4 1022.2 30.15 1015.4 *** ***  0.00 ***** ***** ***** **
727976 24217 201701030353 030  20  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27    4 1023.0 30.18 1016.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701030453 020  20  40 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27    4 1023.8 30.20 1017.1 *** ***  0.00 ***** ***** ***** **
727976 24217 201701030553 030  22  36 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27    3 1024.5 30.22 1017.8  29  26  0.00 ***** ***** ***** **
727976 24217 201701030653 030  17  26 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26    3 1024.9 30.23 1018.1 *** ***  0.00 ***** ***** ***** **
727976 24217 201701030753 020  17  26 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26    3 1025.6 30.26 1019.2  31  26  0.00 ***** ***** ***** **
727976 24217 201701030759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  31  26 ***** *****  0.00 ***** **
727976 24217 201701030853 020  23  33 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26    3 1026.1 30.27 1019.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701030953 030  21  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25    2 1026.3 30.28 1019.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201701031053 030  20  25 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25    3 1026.9 30.30 1020.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701031153 030  21  33 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25    2 1027.4 30.31 1020.8  27  25  0.00 ***** ***** ***** **
727976 24217 201701031253 020  20  36 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25    1 1027.5 30.31 1020.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201701031353 010  20  36 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   24    1 1027.6 30.31 1020.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201701031453 020  22  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   24    1 1027.7 30.31 1020.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201701031553 020  22  32 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   24    1 1028.1 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701031653 040  16  25 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25    1 1028.3 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201701031753 030  21  31 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26    1 1028.8 30.35 1022.2  26  24  0.00 ***** ***** ***** **
727976 24217 201701031853 030  21  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    1 1028.8 30.35 1022.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701031953 030  22  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29    1 1028.7 30.35 1022.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201701032053 030  25  38 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29    1 1028.4 30.34 1021.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701032153 020  23  38 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29    2 1028.4 30.34 1021.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701032253 030  26  39 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28    1 1028.5 30.34 1021.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701032353 020  16  34 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27    2 1028.7 30.34 1021.9  29  26  0.00 ***** ***** ***** **
727976 24217 201701040053 020  23  38 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27    1 1028.5 30.34 1021.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201701040153 020  26  39 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26    1 1028.2 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
