#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 10 14 15 50 220  9.0   MM    MM    MM    MM  MM 1031.8   8.0    MM   5.7   MM   MM    MM
2017 10 14 14 50 160  5.0   MM    MM    MM    MM  MM 1031.6   8.1    MM   6.2   MM   MM    MM
2017 10 14 13 50 220  7.0   MM    MM    MM    MM  MM 1031.3   8.6    MM   5.7   MM   MM    MM
2017 10 14 12 50 210  7.0   MM    MM    MM    MM  MM 1031.4   9.1    MM   6.0   MM   MM    MM
2017 10 14 11 50 230  7.0   MM    MM    MM    MM  MM 1031.3   8.2    MM   6.4   MM   MM    MM
2017 10 14 10 40 230  5.0   MM    MM    MM    MM  MM 1030.5   8.2    MM   6.6   MM   MM    MM
2017 10 14 09 50 250  7.0   MM    MM    MM    MM  MM 1030.6   7.9    MM   6.3   MM   MM    MM
2017 10 14 08 50 230  7.0   MM    MM    MM    MM  MM 1029.7   8.0    MM   6.3   MM   MM    MM
2017 10 14 07 40 120  6.0   MM    MM    MM    MM  MM 1029.5   8.4    MM   6.6   MM   MM    MM
2017 10 14 06 50 110  5.0   MM    MM    MM    MM  MM 1029.1   9.0    MM   6.9   MM   MM    MM
2017 10 14 05 50 110  5.0   MM    MM    MM    MM  MM 1028.7   8.6    MM   6.7   MM   MM    MM
2017 10 14 04 50  30  2.0   MM    MM    MM    MM  MM 1028.2   8.4    MM   6.2   MM   MM    MM
2017 10 14 03 50  20  2.0   MM    MM    MM    MM  MM 1027.4   7.8    MM   6.4   MM   MM    MM
2017 10 14 02 50 120  2.0   MM    MM    MM    MM  MM 1026.7   9.0    MM   6.7   MM   MM    MM
2017 10 14 01 50 230  2.0   MM    MM    MM    MM  MM 1025.7   9.2    MM   5.3   MM   MM    MM
2017 10 14 00 50 250  2.0   MM    MM    MM    MM  MM 1025.3   9.5    MM   5.6   MM   MM    MM
2017 10 13 23 50 290  3.0   MM    MM    MM    MM  MM 1024.6   9.8    MM   5.1   MM   MM    MM
2017 10 13 22 50 210  2.0   MM    MM    MM    MM  MM 1023.8   9.3    MM   5.1   MM   MM    MM
2017 10 13 21 50 240  2.0   MM    MM    MM    MM  MM 1023.6   8.7    MM   5.0   MM   MM    MM
2017 10 13 20 50 230  3.0   MM    MM    MM    MM  MM 1022.8   7.9    MM   4.7   MM   MM    MM
2017 10 13 19 50 260  3.0   MM    MM    MM    MM  MM 1022.4   7.6    MM   4.9   MM   MM    MM
2017 10 13 18 50 120  6.0   MM    MM    MM    MM  MM 1021.1   7.2    MM   5.2   MM   MM    MM
2017 10 13 17 50 110  4.0   MM    MM    MM    MM  MM 1020.4   7.1    MM   5.5   MM   MM    MM
2017 10 13 16 50 360  1.0   MM    MM    MM    MM  MM 1019.5   6.7    MM   4.9   MM   MM    MM
2017 10 13 15 50  20  2.0   MM    MM    MM    MM  MM 1018.3   7.3    MM   4.5   MM   MM    MM
2017 10 13 14 50  20  3.0   MM    MM    MM    MM  MM 1018.1   7.3    MM   4.3   MM   MM    MM
2017 10 13 13 50 110  2.0   MM    MM    MM    MM  MM 1017.6   6.5    MM   4.5   MM   MM    MM
2017 10 13 12 50  30  2.0   MM    MM    MM    MM  MM 1015.1   6.5    MM   4.4   MM   MM    MM
2017 10 13 11 50 120  3.0   MM    MM    MM    MM  MM 1016.3   7.9    MM   5.4   MM   MM    MM
2017 10 13 10 50  20  3.0   MM    MM    MM    MM  MM 1016.1   7.8    MM   5.7   MM   MM    MM
2017 10 13 09 50 320  2.0   MM    MM    MM    MM  MM 1016.3   7.4    MM   6.1   MM   MM    MM
2017 10 13 08 50 140  1.0   MM    MM    MM    MM  MM 1015.8   8.2    MM   6.2   MM   MM    MM
2017 10 13 07 50 210  5.0   MM    MM    MM    MM  MM 1015.6   8.9    MM   7.1   MM   MM    MM
2017 10 13 06 50 220  7.0   MM    MM    MM    MM  MM 1015.5   9.3    MM   7.0   MM   MM    MM
2017 10 13 05 50 210  6.0   MM    MM    MM    MM  MM 1015.3   9.4    MM   6.6   MM   MM    MM
2017 10 13 04 50 230  6.0   MM    MM    MM    MM  MM 1015.5   9.3    MM   6.5   MM   MM    MM
2017 10 13 03 50 100  6.0   MM    MM    MM    MM  MM 1015.6   9.5    MM   7.1   MM   MM    MM
2017 10 13 02 50 220  6.0   MM    MM    MM    MM  MM 1015.1   9.5    MM   6.9   MM   MM    MM
2017 10 13 01 50 210  6.0   MM    MM    MM    MM  MM 1015.2   9.5    MM   6.7   MM   MM    MM
2017 10 13 00 50 220  7.0   MM    MM    MM    MM  MM 1015.2   9.5    MM   6.5   MM   MM    MM
2017 10 12 23 50 220  7.0   MM    MM    MM    MM  MM 1015.4   9.5    MM   6.2   MM   MM    MM
2017 10 12 22 50 210  6.0   MM    MM    MM    MM  MM 1015.5   9.5    MM   6.4   MM   MM    MM
2017 10 12 21 50 210  6.0   MM    MM    MM    MM  MM 1015.7   9.3    MM   6.6   MM   MM    MM
2017 10 12 20 50 220  3.0   MM    MM    MM    MM  MM 1016.1   8.8    MM   6.6   MM   MM    MM
2017 10 12 19 50 220  7.0   MM    MM    MM    MM  MM 1016.2   9.3    MM   6.0   MM   MM    MM
2017 10 12 18 40 220  6.0   MM    MM    MM    MM  MM 1016.5   9.6    MM   6.2   MM   MM    MM
2017 10 12 17 50 220  7.0   MM    MM    MM    MM  MM 1016.4   9.7    MM   6.3   MM   MM    MM
2017 10 12 16 50 220  7.0   MM    MM    MM    MM  MM 1016.3   9.3    MM   6.3   MM   MM    MM
2017 10 12 15 50 220  8.0   MM    MM    MM    MM  MM 1016.2   9.7    MM   5.4   MM   MM    MM
2017 10 12 14 50 210  8.0   MM    MM    MM    MM  MM 1016.3   9.6    MM   5.6   MM   MM    MM
2017 10 12 13 50 130  9.0   MM    MM    MM    MM  MM 1016.3  10.0    MM   6.9   MM   MM    MM
2017 10 12 12 50 220  9.0   MM    MM    MM    MM  MM 1016.5   9.6    MM   6.6   MM   MM    MM
2017 10 12 11 50 150  7.0   MM    MM    MM    MM  MM 1016.7   9.7    MM   6.8   MM   MM    MM
2017 10 12 10 50 210  7.0   MM    MM    MM    MM  MM 1016.7   9.9    MM   6.5   MM   MM    MM
2017 10 12 09 50 220  7.0   MM    MM    MM    MM  MM 1017.1   9.8    MM   6.1   MM   MM    MM
2017 10 12 08 50 220  7.0   MM    MM    MM    MM  MM 1017.2   9.8    MM   6.3   MM   MM    MM
2017 10 12 07 50 120  6.0   MM    MM    MM    MM  MM 1017.4   9.7    MM   6.3   MM   MM    MM
2017 10 12 06 50 120  7.0   MM    MM    MM    MM  MM 1017.4   9.3    MM   6.4   MM   MM    MM
2017 10 12 05 50 220  8.0   MM    MM    MM    MM  MM 1017.1  10.0    MM   5.7   MM   MM    MM
2017 10 12 04 50 140  2.0   MM    MM    MM    MM  MM 1017.2  10.0    MM   6.6   MM   MM    MM
2017 10 12 03 50 100  4.0   MM    MM    MM    MM  MM 1016.9  10.3    MM   7.0   MM   MM    MM
2017 10 12 02 50 100  2.0   MM    MM    MM    MM  MM 1017.0  10.2    MM   5.1   MM   MM    MM
2017 10 12 01 50 190  2.0   MM    MM    MM    MM  MM 1017.0  10.0    MM   6.5   MM   MM    MM
2017 10 12 00 50  40  1.0   MM    MM    MM    MM  MM 1016.7  11.3    MM   4.7   MM   MM    MM
